workbook,dropdowns,numbers,booleans,dates,strings,xrefs,total,composite
3.1030489.ABNAEK01ZXY53XQP11I3VLKYSVIK1KYFB.1.xlsx,0,434,0,104,42,0,583,9.30
3.1030677.F0QBNRHDTRJ0I0V2ICWVK1W4HVGAU4J5A.1.xlsx,0,434,0,104,42,0,583,9.30
3.1030818.HDOIASTWAUQQTZNY3P4DBKFYIC0C55P2A.1.xlsx,0,434,0,104,42,0,583,9.30
3.1031067.ODGZ20XLZW0DJ1JOFKQEKYRAD0JX3PTRA.1.xlsx,0,434,0,104,42,0,583,9.30
3.1031772.HJ3JT0WQ45CXDY33YTNWJ3AOQ4A0F1HGA.1.xlsx,0,434,0,104,42,0,583,9.30
3.1031785.K0RDFFIRYRV4CQCI11HMGDQWVPQKMPL0A.1.xlsx,0,434,0,104,42,0,583,9.30
3.1032640.MWYSOYZKQUES1CSUNWKRANPFQE3GUNIJA.1.xlsx,0,6136,0,974,82,0,7846,9.07
3.1033761.EOVYOXLJVRSJIV5HGVSZBRSRMSLTMNDJB.2.xlsx,0,450,0,18,647,0,1115,4.78
3.1033761.EOVYOXLJVRSJIV5HGVSZBRSRMSLTMNDJB.3.xlsx,0,444,0,18,636,0,1098,4.79
3.1034466.GGDM0FCKZSU43TNJCBDFMW1USMDL1SNLA.1.xlsx,0,434,0,104,42,0,583,9.30
3.1034609.P2UMWTOLXF2GCZUHLG4CCWWYZR2GKLLCA.1.xlsx,0,434,0,104,42,0,583,9.30
3.1038120.JAEQXA0GYUJMGWT12RNBQCX4EGDXSF1RA.1.xlsx,0,434,0,104,42,0,583,9.30
3.104091.EL2S5RGHX3O5FE5P34ZQ5JQMF2YOANOPB.1.xlsx,0,255,0,4,118,0,381,7.11
3.104600.GJREWWBQ55WPBMI5SU0EOXUUJSFCXBYGA.1.xlsx,0,255,0,4,118,0,381,7.11
3.105483.PUTCVTEZ2OAHXX4PRLBT3UAUQZAUYS1ZA.1.xlsx,0,1088,0,0,787,0,1881,6.20
3.105484.LN04CMCDLEUVUBJKPARFVXW3J3VWFTUEA.1.xlsx,0,1045,0,110,26,0,1181,9.80
3.105485.CFD32DGD5CWG32TPTEK03IZ0GFCP4L5CB.1.xlsx,0,1045,0,110,26,0,1181,9.80
3.105527.BV0LYXOKU3E4JYDMMTXZ2AMBDFVL1B5QB.2.xlsx,0,985,0,7,904,0,1896,5.71
3.105528.BVEQIXG5QCLD21OX1A2MQPZ1VWIYLIQWB.1.xlsx,0,1101,0,7,944,0,2052,5.86
3.106115.A22SPDV3QVECY0D515K5NWAO0NSXUI3LB.1.xlsx,0,40094,0,0,10049,0,50143,8.20
3.106126.KFTJGUM1GJRXZCJGQSSD01A25ENDLELKB.1.xlsx,0,40094,0,0,10049,0,50143,8.20
3.106801.FU00AMNDDMXPVKWOOD13UXY0GTPASY0EA.1.xlsx,0,1319,0,0,157,0,1477,9.04
3.106801.FU00AMNDDMXPVKWOOD13UXY0GTPASY0EA.4.xlsx,0,1317,0,0,152,0,1470,9.06
3.107048.JKQ0EWVRZK2Q0T3K0WXRYFLPOE4L5YSOA.1.xlsx,0,120,0,0,235,0,367,3.91
3.107055.F1V1FJ24NUOEX5GCSTHOK0MAW45IBGNCB.1.xlsx,0,504,0,0,741,0,1257,4.60
3.107505.GEDVPNJ2UNM3FF0JJVGWFU3GDHQTUBV3B.1.xlsx,0,40094,0,0,10049,0,50143,8.20
3.107582.IONP5E2WZXWVWHEHOCYBVIRGVQB5I2OFA.1.xlsx,0,1448,0,39,994,0,2520,6.30
3.107680.HJA0NJ24EFDZHCWEOQNIQP4B3OAHYR4QB.2.xlsx,0,985,0,7,904,0,1896,5.71
3.108453.KJDJDUULMCDQBJORUQRX4UHG3SJE10WVA.1.xlsx,0,1509,0,39,1219,0,2819,5.92
3.108499.E2MWWIMRQV2J2KIUTOJSHHBAJVV1MBKYB.1.xlsx,0,1088,0,0,787,0,1881,6.20
3.109523.AE4J13ZJRQLI4OQOUCXXK0MRW4XEX3TZA.2.xlsx,0,985,0,7,904,0,1896,5.71
3.109524.PUMFPDHBUGM3S0O0C1DR4TGAAX5MKTUNA.1.xlsx,0,1101,0,7,944,0,2052,5.86
3.109580.J21MUSNQ2TZPEYZG5OJGHHY3D40CM2BSB.1.xlsx,0,1088,0,0,787,0,1881,6.20
3.109581.MNWVPQ4PN3JWOOFVX4D2DAHZSN41GYY5A.1.xlsx,0,1045,0,110,26,0,1181,9.80
3.109582.IJP3XKHUB2M1TIWD14JPOJ2BGUL31Y41B.1.xlsx,0,1045,0,110,26,0,1181,9.80
3.109702.H4S2YWLEUF0VEMWBFXG1UX4RBAMQUZMHA.1.xlsx,0,40094,0,0,10049,0,50143,8.20
3.110169.IQSXTWNQRLDPQ3LXU3QOAY3HOHRTWNQWA.1.xlsx,0,424,0,0,200,0,624,7.12
3.110610.FZGIY4HKARJKNGNIIETK2D4A3XVUTXHWB.1.xlsx,0,120,0,0,235,0,367,3.91
3.110739.OKIEQBBMAYL2JDXLGNVPSHNQJOPGLD0YB.1.xlsx,0,1101,0,7,944,0,2052,5.86
3.111357.BPSON05PXPU44OCNM1L0DUDJ2AMXOOD2B.1.xlsx,0,40094,0,0,10049,0,50143,8.20
3.111369.P5CFET3DYPMLS1AXSZL3CGCMQCQZM3SOB.2.xlsx,0,985,0,7,904,0,1896,5.71
3.111370.F11B0OWCJVY4DPVMZUQXHVMQ1MJBPYF2B.1.xlsx,0,1101,0,7,944,0,2052,5.86
3.112104.NHTB4T51HNABKPNFJYXPOE5RAMBYQL5AB.1.xlsx,0,255,0,4,118,0,381,7.11
3.112603.LGBQRXCT53SYPICXYT12PU0N0YD2CMIOA.1.xlsx,0,424,0,0,200,0,624,7.12
3.113108.JLP0SOAU5HWWS5SKH2BD5W0ZHCOA4RO4A.1.xlsx,0,255,0,4,118,0,381,7.11
3.1131518.GNPPEHWU34OTH0CK5ZZSKPJ0223CKBKBA.1.xlsx,0,502,0,0,212,0,714,7.33
3.1131816.BFDV0OJ2NFHXC1QE0U3WLB13WYXV3EMNA.1.xlsx,0,360,0,362,11,0,733,9.86
3.1131890.CCQ4F5H4SUXVKQBMUEKDO5FDE21UOGAWA.1.xlsx,0,360,0,362,11,0,733,9.86
3.1131894.BVLSJ4VFBLAPVSGEXU2V3DXW1HL20QSXB.1.xlsx,0,720,0,364,16,0,1100,9.87
3.1131926.K03VKA4ZCCUICSDD53JB5S1TOPBPWVPQB.1.xlsx,0,534,0,59,61,0,654,9.16
3.1131961.LCDBKUVN0QTF2C3YKZVQFPBSB0SE3AR5A.1.xlsx,0,548,0,0,226,0,774,7.37
3.1131972.PHSAIZMGL3NKBQ5AKIILPXMKWRCV00UAA.1.xlsx,0,530,0,59,65,0,654,9.11
3.1132022.LNTB4YFWWBEWJXPGJQYCB4GVE4JFIMD0A.1.xlsx,0,533,0,59,62,0,654,9.15
3.1132023.I35K4DOJ5IZANKDE5ERFWXZRKV1ABZVEA.1.xlsx,0,530,0,59,63,0,652,9.13
3.1132024.HCKD3S1NFLCRZAJFCAJPG3QCWWLSHBM4B.1.xlsx,0,534,0,59,61,0,654,9.16
3.1132025.GHPW4H0P1EGEK3AQNHM4AG4B5LR12EKYB.1.xlsx,0,531,0,59,64,0,654,9.12
3.1132027.GEX5APR3YSIL3HMRWMZLEY14C5WIVGMKB.1.xlsx,0,531,0,59,64,0,654,9.12
3.1132058.K15QOPU32UCLX4TW2B5ZSBOQFLXJPSAYB.1.xlsm,0,15841,0,711,279,0,16834,9.85
3.1132066.HALPSRIJ4HL0Y1PPYBUEP3LGBLQX1W3BB.1.xlsx,0,720,0,364,16,0,1100,9.87
3.1132158.EDQRYM0AY54AZIB2FEU52KJQYWLAPWYYB.1.xlsm,0,755,0,185,820,0,1797,5.69
3.113237.E2BQ3PXGKSSW0FRUPSHJH0XFWLG4FNLGA.1.xlsx,0,1045,0,110,26,0,1181,9.80
3.113238.G10NVWQCUV4AFU2BL0R2BU51HWLZRQGEB.1.xlsx,0,1045,0,110,26,0,1181,9.80
3.113239.F5DTQN4XIK3JJWZSEHCCZJY4BYIFHDCFB.1.xlsx,0,1088,0,0,787,0,1881,6.20
3.1132405.NR1HAOS2TXHLSRGWDEZU2WQ1O4JOM3H1A.1.xlsx,0,770,0,186,107,0,1063,9.09
3.1133330.APX45ABM1MPUW5YVQDWNUO43NAKO5EFJB.1.xlsm,0,17778,0,6748,33,0,24559,9.99
3.1134356.LNPRBMAHHVYX1UC5BVVZARPCK4EV2FMCA.1.xlsx,0,7405,0,31,1972,0,9408,8.11
3.1134357.HAMZVVAVLB5FHZRUJ4VIBEANI5OTGPL0A.1.xlsx,0,6094,0,25,1624,0,7743,8.11
3.1134358.AQU3UCE2BKRAUAMYBR2WDOGT2WF4W11QB.1.xlsx,0,6969,0,29,1856,0,8854,8.11
3.1134365.MCXW1252Y3LIL3YTXQOVE1DCD1H0I1VBB.1.xlsx,0,5221,0,21,1392,0,6634,8.11
3.1134368.ALUNBGH2ZUM55TIXQB41DGVOP2Q1ETCOB.1.xlsx,0,4784,0,19,1276,0,6079,8.11
3.1134370.KMF5SW2GDGTAIII51WKOCDK0K14DHUAQA.1.xlsx,0,4348,0,17,1160,0,5525,8.11
3.1134377.DLSQTYV3UNO2BZPEES05AP5BPAYDLJJ3B.1.xlsx,0,3912,0,15,1044,0,4971,8.11
3.1134380.PHC4DONEXE1QVUFWZQPCAIYYQDQMOJRZB.1.xlsx,0,3040,0,11,812,0,3863,8.11
3.1134384.BE5U1WK5JRSYGPDSBH5QE5VY15A4BUVIA.1.xlsx,0,1264,0,4,346,0,1614,8.07
3.1134385.OIX2K3TZV1AUJLUGSIRT5GXJ1QRCGA2LB.1.xlsx,0,731,0,2,226,0,959,7.88
3.1134386.OL4CYAYETI35ZAAGFAUCMZCR2M1OE4KHA.1.xlsx,0,1732,0,5,464,0,2201,8.10
3.1134390.D2OEQNSG2H3N1MNBKOPGDMVIVL43XCDTB.1.xlsx,0,731,0,2,226,0,959,7.88
3.113472.AJ4CN4BWOU1G5JDJZTC0YVK2E10XZCJVB.1.xlsx,0,40094,0,0,10049,0,50143,8.20
3.1135730.F4KMYT2QV3GA2Q1S5Z03DQIQ1SOB5KYSA.1.xlsx,0,1566,0,5,171,0,1742,9.12
3.1136871.NG22DCD5B5WNL5RTNQDTUGIC4SG3QH4CB.1.xlsx,0,520,0,104,34,0,658,9.53
3.1137035.HCQWNXWJ0FSXDPYL2DA3OO3VN1ADOXGCB.1.xlsx,0,4045,0,706,726,31506,37000,86.46
3.1138199.C2LUACCLBOUGQOF442TC44IEXQORZL3DB.1.xlsx,0,243,0,0,32,0,275,8.95
3.1138243.PBVEBXYUDKUIOFFCB1HFBXJLH4TUUDZGB.1.xlsx,0,4045,0,706,726,31506,37000,86.46
3.1138662.KF3WIYRX2J44XAOMPNPIUAP2JAPZAKXPB.1.xlsx,0,235,0,0,116,0,351,7.03
3.1138932.E2B5BDVYU3FH3JVUM4A50G3J1ZAPS54NB.1.xlsx,0,243,0,0,32,0,275,8.95
3.1139102.NKTZTXTXDPPTAWRMFFLMUHLDQQWMJPU4A.1.xlsx,0,1171,0,0,503,0,1679,7.27
3.1139698.PAXSVY2TYJMXYQMBQVBVP2ZF213D304DB.1.xlsx,0,1171,0,0,503,0,1679,7.27
3.1142152.LWKQGRUZ1ECP2NBNI0MBHBF3SAKPTZ3RB.1.xlsx,0,1296,0,32,163,0,1491,9.02
3.1142741.GYD5Q1ABZKQBEO3JDE2EETKLMW02CKDGA.1.xlsx,0,40094,0,0,10049,0,50143,8.20
3.1142751.NPZ42A4Z1EP1TESCINL2AGLB2YTA1CUJA.1.xlsx,0,40094,0,0,10049,0,50143,8.20
3.1142792.HEVTRAY3YFU0L5243GLULZ05BXE0N2TZA.1.xlsx,0,1171,0,0,503,0,1679,7.27
3.1143277.N5NXNNUQNAA0CKIDTZJ42IP5LHHFQY5FB.1.xlsx,0,247,0,0,72,0,319,7.97
3.1143395.JUORI1SGBAO3DLYMHAFXJVFCDVQLVTG0A.1.xlsx,0,1448,0,39,994,0,2520,6.30
3.1143928.JSAQS4AC5I5ANLB0MYDZI2L423MBV0YCA.1.xlsx,0,247,0,0,72,0,319,7.97
3.1143950.M4PERTQ5T5P13ZN0FFCFPBZISJ1Z1YXVB.1.xlsx,0,1448,0,39,994,0,2520,6.30
3.1144026.P1LISHYT4UWFX5UN4EEEFHDANIBAFSCZB.1.xlsx,0,40094,0,0,10049,0,50143,8.20
3.1144030.GUNXLSMPPQLFI55DQYFOCYDK4T0ETWUAB.1.xlsx,0,40094,0,0,10049,0,50143,8.20
3.1144843.P4EO2EV0IXUBOSFHL43KNWF1NAECPKDZB.1.xlsx,0,1296,0,32,163,0,1491,9.02
3.1145333.MUVTGZAF3UZRU2XCRIL5CQZQZSNQFP3UB.1.xlsx,0,1296,0,32,163,0,1491,9.02
3.1145674.JLS33X5XLCF1F4IB34RHOMQ4C52C4HQRB.1.xlsx,0,635,0,0,89,0,724,8.89
3.1145719.K0CQKEXJO14SDK4LP0OMN5ROFK4DYKHTB.1.xlsx,0,1171,0,0,503,0,1679,7.27
3.1146202.LZEIWCPB4RWAYNBICMCD11GUIWLYVNIDA.1.xlsx,0,1296,0,32,163,0,1491,9.02
3.1147461.NU5PMCWOXYDCJ35C4DOYHTRAZZYXDVFWA.1.xlsx,0,1171,0,0,503,0,1679,7.27
3.114751.GNOPRD2JFU31G5FSRKOD5YB5AEESSCPXB.3.xlsx,0,565,0,0,423,1,1216,5.08
3.114751.GNOPRD2JFU31G5FSRKOD5YB5AEESSCPXB.4.xlsx,0,297,0,0,465,0,895,3.84
3.1152505.HDCOVDMSZLGDLZHSSJKLP0QVFLR1CSESA.1.xlsx,0,1296,0,32,163,0,1491,9.02
3.1153187.LASD02RTBOYED0N3TTT4YVV21WV3SL3CA.1.xlsx,0,1171,0,0,503,0,1679,7.27
3.1154540.DCEGM1KJNKU0ENMK3BJMWN2BJQ2QUMQOA.1.xlsx,0,40094,0,0,10049,0,50143,8.20
3.1154710.A1GHL2KNGEZPAQ1NEAS1ZVUTBAGIL2JHB.1.xlsx,0,1448,0,39,994,0,2520,6.30
3.1154793.HL3E0XMVAPUMYRBLPNLUJFE1VTOQ1WWHB.1.xlsx,0,1296,0,32,163,0,1491,9.02
3.1154996.E5IZQPQXGCV0HLVBTS3IHWVAVIMMFEB3A.1.xlsx,0,247,0,0,72,0,319,7.97
3.115749.AWB4XWSO04RR1TXA1XVM0YUVVQKL2DB4A.1.xlsx,0,1088,0,0,787,0,1881,6.20
3.1158253.OQYZEDGWJA4FQAWWN3UW2B21YBHV1XJRB.1.xlsx,0,3374,0,25,129,0,3528,9.67
3.1158728.JMYDGCNJV141YX3NJAP1KJ1QDZI3NUUAA.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1158730.JU2K14Y12H2MJBSWA2AWJYD3LSP5GJYJA.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1158833.GJ4AITUGUYGPYBD4XJOSTWMUXRCCNBTJB.1.xlsm,0,10579,0,0,1582,1,12163,8.84
3.1159456.GDT4L1N1NJAXHFX0ROLFY435SGKLV3XHB.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1159459.F5OKKLH2B13BMWPSHQ5LCB05EIFMLLA4A.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.115990.A4OPRAR5NB5EFM4ZLY4TJP0G0D102ZDWB.1.xlsx,0,873,0,0,722,0,1598,5.91
3.1160492.MCM3SXRYCX5VNDBB0CV03MGNBL2PKCWGA.1.xlsx,0,14611,0,560,18,0,15189,9.99
3.1160510.KRU15CCISYBHQIYIPIF2HHRU24JTT0OCB.1.xlsx,0,14611,0,560,18,0,15189,9.99
3.1160600.EPN53IWFJ5XRTHRPUSXAVNFUU0GWBJGOA.1.xlsm,0,10579,0,0,1582,1,12163,8.84
3.1161100.KSHXPLKD2ND5MTMMXYK1MF1XOS5FHDDEA.1.xlsx,0,3374,0,25,129,0,3528,9.67
3.1161504.CFD5MOY243WQ4JI1XVMRAMRW3NFCGDHJA.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1161505.LFUZNLBER4RVZIHJHAXA2FL1AOQN1G5WA.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1161623.ERPEQRWLQ2XAWFZTWZ25OXPESZKVFW03B.1.xlsm,0,10579,0,0,1582,1,12163,8.84
3.1161658.F4OAUM2HP2DLBUI0NTVARIUVXIZU5IYOA.1.xlsx,0,14611,0,560,18,0,15189,9.99
3.1161807.HATTLP5BLGGBSFB3WKSI0R3GIHIZIYJVA.1.xlsx,0,3374,0,25,129,0,3528,9.67
3.1163103.FL35DLMRTHHGWVC4Y43K0WLQXPBQKATEA.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1163107.LMWQRRZEF4XATMBZ5UDD2BUSMFS3HWDFB.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1163130.AXSIKI00AKDD30UHTDCI4L4OSGSDB0XHA.1.xlsx,0,14611,0,560,18,0,15189,9.99
3.1163168.IC4CLUUK55VSOAGQP5SG0NFJMDECQWBRB.1.xlsm,0,10579,0,0,1582,1,12163,8.84
3.1163264.MKV5IOBAQJDWXD1TKPIQCMZLN54ZH4LFA.1.xlsx,0,14611,0,560,18,0,15189,9.99
3.1163284.ONACXMIQ3I0BBK4Q3HWVZAT1IU5B3F3UA.1.xlsm,0,10579,0,0,1582,1,12163,8.84
3.1163344.IF0SRNPD5UVVBZ0CKYG51JQ4GX21JC1KB.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1163345.BQTWN2ZBUFJHSRERX01FRZMR4U4XHXEDA.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1163684.OA3OXZUZ2IN0RQPDRUGUZMRMJVJPSCSWB.1.xlsx,0,14611,0,560,18,0,15189,9.99
3.1163707.PZ55PNVE2IDQB14R3BB2JEITWFBQX3I3A.1.xlsm,0,10579,0,0,1582,1,12163,8.84
3.1163770.LHBX2NWFSMHDYESW1UBYXKEQXYKYYQP5B.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1163771.M3W35ZRISQ0LWFNJBHUILQVHWVLUDFQDA.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1164075.MTQWBH5KQOL2JMBBQ414VAQJZILQKI3OB.1.xlsx,0,3374,0,25,129,0,3528,9.67
3.1164607.LNB0QXSHNLJWU2NPDOMCKN0N2UVZWCOMA.1.xlsx,0,3374,0,25,129,0,3528,9.67
3.1164795.G3QY2G1GAIWJTORL4UFR2PTVBEI0Q1V3A.1.xlsx,0,3374,0,25,129,0,3528,9.67
3.116490.CCD3GPUHF0IH531PP2OJA0SP0KTSLXFOB.3.xlsx,0,897,0,2,233,0,1132,8.15
3.116490.CCD3GPUHF0IH531PP2OJA0SP0KTSLXFOB.4.xlsx,0,2502,0,0,1361,0,3872,6.81
3.1165495.IHMVE1UZS5WAPOLPOWGIND0BCYU5MOWOB.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1165496.OSEI1ISACBKCUY4ABCQQJ2W3A4VOWA0DB.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1165843.NKOHF04VM222IP0BMT25VG4LI0G2LGLGA.1.xlsx,0,3374,0,25,129,0,3528,9.67
3.1166243.EOKR0EKLW1EH2UGEDMTDU3IJINDITHOWA.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1166370.KOPT1IPZO1OCF0K2YBEFYUSDQ5QOVEBSB.1.xlsm,0,10579,0,0,1582,1,12163,8.84
3.1166402.LME1TICRRABAD2NSWAOI4RTOPZAEQBJJB.1.xlsx,0,14611,0,560,18,0,15189,9.99
3.1166676.IQYAEYI0K4SYI1KTDLO5PQKLEHK05FDKA.1.xlsm,0,10579,0,0,1582,1,12163,8.84
3.1166832.MOXSBKJHZLE5UJJXLBT55D1JHKY5CP2AA.1.xlsx,0,357,0,138,172,0,667,7.68
3.1166995.KO2YLFL00VIJTYZ0GLCM3MU3U1FLUGWOB.1.xlsx,0,14611,0,560,18,0,15189,9.99
3.1167143.CAWWC5MC0VPSC0TGQW41NOBB3T14ECPGA.1.xlsx,0,2489,0,437,913,0,3848,7.84
3.1167325.FD24FQX02YDFRTTALSBWW54ZC14XEFYTA.1.xlsx,0,357,0,138,172,0,667,7.68
3.1167372.CN1RFDTHOLAM1YQU5NSKZBZXWKQP5WRJA.1.xlsx,0,374,0,202,11,0,588,9.81
3.1167393.DOIUWF12CDXGDRBM2UCSDUELHEOW12WBA.1.xlsx,0,734,0,367,4,0,1105,9.97
3.1167495.MA3PO1OVILQ3BC205E3VO4DLJE50WDVDA.1.xlsx,0,373,0,78,317,0,775,6.23
