workbook,circular,mean,max,p10,p50,p90
3.1138662.KF3WIYRX2J44XAOMPNPIUAP2JAPZAKXPB.1.xlsx,0,1.78,4.00,1.00,2.00,3.00
3.1138932.E2B5BDVYU3FH3JVUM4A50G3J1ZAPS54NB.1.xlsx,0,10.16,25.00,1.00,10.00,21.00
3.1139102.NKTZTXTXDPPTAWRMFFLMUHLDQQWMJPU4A.1.xlsx,0,1.43,6.00,1.00,1.00,2.00
3.1139698.PAXSVY2TYJMXYQMBQVBVP2ZF213D304DB.1.xlsx,0,1.43,6.00,1.00,1.00,2.00
3.1142152.LWKQGRUZ1ECP2NBNI0MBHBF3SAKPTZ3RB.1.xlsx,0,1.38,2.00,1.00,1.00,2.00
3.1142741.GYD5Q1ABZKQBEO3JDE2EETKLMW02CKDGA.1.xlsx,0,0.29,4.00,0.00,0.00,1.00
3.1142751.NPZ42A4Z1EP1TESCINL2AGLB2YTA1CUJA.1.xlsx,0,0.29,4.00,0.00,0.00,1.00
3.1142792.HEVTRAY3YFU0L5243GLULZ05BXE0N2TZA.1.xlsx,0,1.43,6.00,1.00,1.00,2.00
3.1143277.N5NXNNUQNAA0CKIDTZJ42IP5LHHFQY5FB.1.xlsx,0,4.98,40.00,1.00,1.00,21.00
3.1143395.JUORI1SGBAO3DLYMHAFXJVFCDVQLVTG0A.1.xlsx,0,4.58,42.00,1.00,2.00,8.00
3.1143928.JSAQS4AC5I5ANLB0MYDZI2L423MBV0YCA.1.xlsx,0,4.98,40.00,1.00,1.00,21.00
3.1143950.M4PERTQ5T5P13ZN0FFCFPBZISJ1Z1YXVB.1.xlsx,0,4.58,42.00,1.00,2.00,8.00
3.1144026.P1LISHYT4UWFX5UN4EEEFHDANIBAFSCZB.1.xlsx,0,0.29,4.00,0.00,0.00,1.00
3.1144030.GUNXLSMPPQLFI55DQYFOCYDK4T0ETWUAB.1.xlsx,0,0.29,4.00,0.00,0.00,1.00
3.1144843.P4EO2EV0IXUBOSFHL43KNWF1NAECPKDZB.1.xlsx,0,1.38,2.00,1.00,1.00,2.00
3.1145333.MUVTGZAF3UZRU2XCRIL5CQZQZSNQFP3UB.1.xlsx,0,1.38,2.00,1.00,1.00,2.00
3.1145674.JLS33X5XLCF1F4IB34RHOMQ4C52C4HQRB.1.xlsx,0,0.57,1.00,0.00,1.00,1.00
3.1145719.K0CQKEXJO14SDK4LP0OMN5ROFK4DYKHTB.1.xlsx,0,1.43,6.00,1.00,1.00,2.00
3.1146202.LZEIWCPB4RWAYNBICMCD11GUIWLYVNIDA.1.xlsx,0,1.38,2.00,1.00,1.00,2.00
3.1147461.NU5PMCWOXYDCJ35C4DOYHTRAZZYXDVFWA.1.xlsx,0,1.43,6.00,1.00,1.00,2.00
3.114751.GNOPRD2JFU31G5FSRKOD5YB5AEESSCPXB.3.xlsx,0,2.16,10.00,0.00,1.00,5.00
3.114751.GNOPRD2JFU31G5FSRKOD5YB5AEESSCPXB.4.xlsx,0,4.05,19.00,0.00,2.00,11.00
3.1152505.HDCOVDMSZLGDLZHSSJKLP0QVFLR1CSESA.1.xlsx,0,1.38,2.00,1.00,1.00,2.00
3.1153187.LASD02RTBOYED0N3TTT4YVV21WV3SL3CA.1.xlsx,0,1.43,6.00,1.00,1.00,2.00
3.1154540.DCEGM1KJNKU0ENMK3BJMWN2BJQ2QUMQOA.1.xlsx,0,0.29,4.00,0.00,0.00,1.00
3.1154710.A1GHL2KNGEZPAQ1NEAS1ZVUTBAGIL2JHB.1.xlsx,0,4.58,42.00,1.00,2.00,8.00
3.1154793.HL3E0XMVAPUMYRBLPNLUJFE1VTOQ1WWHB.1.xlsx,0,1.38,2.00,1.00,1.00,2.00
3.1154996.E5IZQPQXGCV0HLVBTS3IHWVAVIMMFEB3A.1.xlsx,0,4.98,40.00,1.00,1.00,21.00
3.115749.AWB4XWSO04RR1TXA1XVM0YUVVQKL2DB4A.1.xlsx,0,2.69,9.00,1.00,2.00,6.00
3.1158253.OQYZEDGWJA4FQAWWN3UW2B21YBHV1XJRB.1.xlsx,0,1.42,20.00,1.00,1.00,3.00
3.1158728.JMYDGCNJV141YX3NJAP1KJ1QDZI3NUUAA.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.1158730.JU2K14Y12H2MJBSWA2AWJYD3LSP5GJYJA.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.1158833.GJ4AITUGUYGPYBD4XJOSTWMUXRCCNBTJB.1.xlsm,0,1.81,8.00,1.00,1.00,4.00
3.1159456.GDT4L1N1NJAXHFX0ROLFY435SGKLV3XHB.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.1159459.F5OKKLH2B13BMWPSHQ5LCB05EIFMLLA4A.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.115990.A4OPRAR5NB5EFM4ZLY4TJP0G0D102ZDWB.1.xlsx,0,2.82,9.00,1.00,2.00,6.00
3.1160492.MCM3SXRYCX5VNDBB0CV03MGNBL2PKCWGA.1.xlsx,0,1.20,35.00,1.00,1.00,1.00
3.1160510.KRU15CCISYBHQIYIPIF2HHRU24JTT0OCB.1.xlsx,0,1.20,35.00,1.00,1.00,1.00
3.1160600.EPN53IWFJ5XRTHRPUSXAVNFUU0GWBJGOA.1.xlsm,0,1.81,8.00,1.00,1.00,4.00
3.1161100.KSHXPLKD2ND5MTMMXYK1MF1XOS5FHDDEA.1.xlsx,0,1.42,20.00,1.00,1.00,3.00
3.1161504.CFD5MOY243WQ4JI1XVMRAMRW3NFCGDHJA.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.1161505.LFUZNLBER4RVZIHJHAXA2FL1AOQN1G5WA.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.1161623.ERPEQRWLQ2XAWFZTWZ25OXPESZKVFW03B.1.xlsm,0,1.81,8.00,1.00,1.00,4.00
3.1161658.F4OAUM2HP2DLBUI0NTVARIUVXIZU5IYOA.1.xlsx,0,1.20,35.00,1.00,1.00,1.00
3.1161807.HATTLP5BLGGBSFB3WKSI0R3GIHIZIYJVA.1.xlsx,0,1.42,20.00,1.00,1.00,3.00
3.1163103.FL35DLMRTHHGWVC4Y43K0WLQXPBQKATEA.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.1163107.LMWQRRZEF4XATMBZ5UDD2BUSMFS3HWDFB.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.1163130.AXSIKI00AKDD30UHTDCI4L4OSGSDB0XHA.1.xlsx,0,1.20,35.00,1.00,1.00,1.00
3.1163168.IC4CLUUK55VSOAGQP5SG0NFJMDECQWBRB.1.xlsm,0,1.81,8.00,1.00,1.00,4.00
3.1163264.MKV5IOBAQJDWXD1TKPIQCMZLN54ZH4LFA.1.xlsx,0,1.20,35.00,1.00,1.00,1.00
3.1163284.ONACXMIQ3I0BBK4Q3HWVZAT1IU5B3F3UA.1.xlsm,0,1.81,8.00,1.00,1.00,4.00
3.1163344.IF0SRNPD5UVVBZ0CKYG51JQ4GX21JC1KB.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.1163345.BQTWN2ZBUFJHSRERX01FRZMR4U4XHXEDA.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.1163684.OA3OXZUZ2IN0RQPDRUGUZMRMJVJPSCSWB.1.xlsx,0,1.20,35.00,1.00,1.00,1.00
3.1163707.PZ55PNVE2IDQB14R3BB2JEITWFBQX3I3A.1.xlsm,0,1.81,8.00,1.00,1.00,4.00
3.1163770.LHBX2NWFSMHDYESW1UBYXKEQXYKYYQP5B.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.1163771.M3W35ZRISQ0LWFNJBHUILQVHWVLUDFQDA.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.1164075.MTQWBH5KQOL2JMBBQ414VAQJZILQKI3OB.1.xlsx,0,1.42,20.00,1.00,1.00,3.00
3.1164607.LNB0QXSHNLJWU2NPDOMCKN0N2UVZWCOMA.1.xlsx,0,1.42,20.00,1.00,1.00,3.00
3.1164795.G3QY2G1GAIWJTORL4UFR2PTVBEI0Q1V3A.1.xlsx,0,1.42,20.00,1.00,1.00,3.00
3.116490.CCD3GPUHF0IH531PP2OJA0SP0KTSLXFOB.3.xlsx,0,1.92,9.00,1.00,1.00,4.00
3.116490.CCD3GPUHF0IH531PP2OJA0SP0KTSLXFOB.4.xlsx,0,1.42,7.00,1.00,1.00,2.00
3.1165495.IHMVE1UZS5WAPOLPOWGIND0BCYU5MOWOB.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.1165496.OSEI1ISACBKCUY4ABCQQJ2W3A4VOWA0DB.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.1165843.NKOHF04VM222IP0BMT25VG4LI0G2LGLGA.1.xlsx,0,1.42,20.00,1.00,1.00,3.00
3.1166243.EOKR0EKLW1EH2UGEDMTDU3IJINDITHOWA.1.xlsx,0,1.50,5.00,1.00,1.00,3.00
3.1166370.KOPT1IPZO1OCF0K2YBEFYUSDQ5QOVEBSB.1.xlsm,0,1.81,8.00,1.00,1.00,4.00
3.1166402.LME1TICRRABAD2NSWAOI4RTOPZAEQBJJB.1.xlsx,0,1.20,35.00,1.00,1.00,1.00
