workbook,complex,very_complex,exceptionally_complex,formula_cells,total,mean,max,p10,p50,p90
3.821027.CKCKXQQ3FCOT5TKCAGRIKC1BY0IV3TVOB.1.xlsm,248,0,12808,0,13319,7.122,7.700,6.200,7.700,7.700
3.626617.D0ZPKNERF0RGBKX5FDTW0KH5315M2JMQB.1.xlsx,347,124,0,7,1837,0.891,3.100,0.200,0.200,2.500
3.1017416.HSCXZDFD4VKKZPFPGRC2T1ZVHPBTW5NUB.1.xlsx,1,0,0,0,397,0.556,2.200,0.500,0.500,0.700
3.418292.I2SGFV1DHL2QRJOXVCKIKL4EQT4RKG0GA.1.xlsx,44960,2124,3417,102084,112008,1.592,7.300,0.500,0.600,2.600
3.773471.LSQNIPQ05COKZGOAF5F1NEUN2EXSJDWQA.2.xlsx,5332,0,0,76,13165,1.386,2.500,0.600,0.800,2.400
3.1177052.JCDQ3AP142YGBCQVZHROE5GAYOI3NESSA.1.xlsx,507,1,0,1303,5156,0.504,3.800,0.300,0.300,0.600
karen-cs101gradebookSp98.xlsx,1442,293,2078,0,3815,6.540,13.600,2.400,5.100,13.300
3.339691.BNBIOUHFO2WTDVXNF3M4PB40PNFUJD13B.6.xlsx,9707,3984,0,0,21538,1.831,4.500,0.500,1.100,4.500
3.351459.JXSAYVNGEYOVOKSMK2UY3XW1EOH5AB3FB.8.xlsx,20747,20138,0,0,40885,3.487,4.400,2.600,2.600,4.400
3.727058.LENDA4WFSVJVDC5QPGZTSVPQIHWRAHZHB.1.xlsx,8,0,0,0,223,0.513,2.200,0.200,0.500,0.500
3.299024.OJKDNK3RBNJMEGEVWX11IBVRFYPKR35QA.1.xlsx,1139,0,0,982,1139,2.200,2.200,2.200,2.200,2.200
3.359602.BNB2RYNXSTWL34WOXIA0ITHN2PZMMA1XA.1.xlsx,28,0,91,53,1384,0.837,5.300,0.200,0.600,0.600
3.308913.IADA5FCOLT3HR2HLKY3L3S3Q2TMO5P5RA.1.xlsx,431,0,0,431,2556,0.737,2.200,0.400,0.400,2.200
3.861105.GVKQ5CWIJTHDSVSS1GDGGVSJXU45O5S5A.1.xlsx,1576,0,0,0,1576,2.200,2.200,2.200,2.200,2.200
3.744553.HPX0YS2FRDE32QXK20RNBRXMTJPQ3T3WB.1.xlsx,146,8,0,4,1038,0.622,3.000,0.200,0.500,1.200
3.863671.PWCATXA3W4XX5YBU3L1QKRIAUHAEQOOIA.1.xlsx,0,0,0,0,301,0.500,0.500,0.500,0.500,0.500
3.601893.B4A2J1PX35X1IQCHSD3H4F5PRWHGD0BNA.1.xlsx,352,0,0,16,5584,0.571,2.800,0.300,0.500,0.800
3.615162.EU4MD4NIEW3ISIYN45LHKUO0IWGURMREB.1.xlsx,144,40,20,222,1573,0.707,7.200,0.200,0.500,2.600
3.986178.LMVMEPTIFPEBTQC2UUGGFW5JAXYGI4ZBB.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.868827.EA4SYQRTS0TENTE3BN2OXXKZZZUY1N3EA.1.xlsx,82,0,0,0,82,2.200,2.200,2.200,2.200,2.200
3.358319.FWXFP425502M0VUMN4OQOBYAKNZILRHJB.3.xlsm,615,240,1640,484,3011,4.033,8.400,0.500,5.500,5.500
3.191396.HIGAD3K5VERJZMDWBCTDAL0H5IMGZHNAA.1.xlsx,236,0,0,0,5382,0.426,2.000,0.200,0.200,0.800
3.824626.ID4NY1K4SAGFJTJORVWQGZGZERETVYMQA.1.xlsx,363,0,0,93,1195,1.115,2.500,0.400,0.600,2.500
3.601679.DNOQFUICJNA4HOVF15BWK3ZT1L3KG3GZA.1.xlsx,712,6,0,0,1461,1.411,4.400,0.200,0.500,2.500
3.361660.MCW4PO2O14JVRX4NQMVB5M23GH2R3BYSB.1.xlsm,376,240,122,399,980,3.070,8.400,0.200,2.500,7.000
3.866629.KJXIBCT5LIBFMQGDFQ0C0O3NC4RMU3IEA.1.xlsx,148,0,0,83,455,1.085,2.500,0.100,0.900,2.200
3.416037.OTBJTTBYXTO5SOLW01AYBNFT4314USY4B.1.xlsx,3805,0,0,96,13334,0.864,2.600,0.200,0.200,2.500
3.545313.OPSD0JWMCEEFXSLPHOOB0RA0AKS4VYUEA.1.xlsx,51,24,231,0,306,13.660,44.000,2.800,8.400,44.000
3.463420.PYUZPLRTHTY20V0VEVXHISJUBZTONS4VA.1.xlsm,5464,0,0,0,5486,2.690,2.700,2.700,2.700,2.700
gradef03-sec3.xlsx,181,22,22,0,299,2.267,6.700,0.400,2.200,4.100
3.406880.NJMZH1J1BS3E1GNDSYIGQYH0ENKM222GA.2.xlsx,0,0,0,0,365,0.300,0.300,0.300,0.300,0.300
3.548945.LRLWXHSFR0LOGPFXDQHOJDNMCQE5XDBEA.1.xlsm,34,0,0,254062,34,2.200,2.200,2.200,2.200,2.200
3.359603.MOTWSMWJH4U20DBBDYZ4P52EXGXOIAXDA.2.xlsx,28,0,91,53,1384,0.837,5.300,0.200,0.600,0.600
3.1143950.M4PERTQ5T5P13ZN0FFCFPBZISJ1Z1YXVB.1.xlsx,245,15,55,10,2220,0.860,11.800,0.300,0.600,1.300
3.319766.JOEVXTU5FRIMDZVJ1PBBZ1JT1LS5E0VEB.2.xlsx,1425,0,0,20,5323,0.682,1.200,0.500,0.500,1.200
3.448234.IOUUDMSRI1QP2UULZYCG055YNTNGE4MNA.1.xlsx,228,0,107,0,6925,0.570,9.300,0.200,0.500,0.500
3.34070.N124JXOTTJF3QGBRXTUSVNJKHLWHTPQ3A.1.xlsx,0,0,0,0,376,0.518,0.600,0.100,0.600,0.600
3.97351.EU3DHGVATJ3II4JKXUTM0H3VGEAOLXBEA.1.xlsx,248,24,46,6,2073,0.878,11.800,0.300,0.600,1.800
3.1213095.IND1SLJJJW1WBLB12BKU3ZOFIOXD5H1EA.1.xlsx,0,0,0,437,1817,0.623,0.800,0.500,0.500,0.800
3.545208.LO42OQVNEPRL5OSNRHG1EMDLKXPODCYHA.1.xlsx,51,24,231,0,306,13.660,44.000,2.800,8.400,44.000
3.678120.HTTB4WGFXXRXWOHTXD5ZXYH2LYGFJX1VA.1.xlsx,0,0,362,60,422,4.531,5.200,0.500,5.200,5.200
3.820347.PVPIEBTDSFXAKX3UN1PCITNWVMHV2L3JB.1.xlsx,980,23,6,0,4004,0.828,5.700,0.300,0.600,1.600
3.888831.OX2IUBHH1TLTKRBLVBUPVDKKIWWL0BDIB.1.xlsx,3366,0,0,0,3420,2.365,2.400,2.400,2.400,2.400
3.819176.OWSZWIW52V4JMB1OZ21JALXL3PCSML0PA.1.xlsx,980,23,6,0,4004,0.828,5.700,0.300,0.600,1.600
3.406890.G3JNESOWFCJFBQAHGCGDCMWBFP1YYZPZB.1.xlsx,18,0,0,42,620,0.355,2.200,0.300,0.300,0.300
3.418354.F5M1DUKJU0HQL0ZLPFMIP0GFGGOPIXHYB.1.xlsm,120,96,778,2,1809,3.234,14.700,0.500,2.300,6.200
3.189150.BSIPK1IMJ1N5GUXQWKZD4LJNJVWN1BZGA.1.xlsm,159,75,421,0,2540,1.439,10.300,0.300,0.300,5.500
3.416445.CUF2IX5UTSTJ5SZEACKB0ZD4SFSLQT10A.1.xlsx,109,0,0,1,685,0.750,2.600,0.300,0.500,2.200
3.33995.BHQYPGI2BQEQJR0G0C30LJVKCPVOKMGSA.1.xlsx,0,0,0,0,376,0.518,0.600,0.100,0.600,0.600
3.189755.IO5WCT5WMDMVIBJL212AMY5XJEMECWFOB.1.xlsm,159,75,421,0,2540,1.439,10.300,0.300,0.300,5.500
3.313672.KY5AHJHQUZZ3NYZXHJCECRRSIHTIM5MUA.1.xlsx,2322,13680,13680,0,29754,7.840,13.500,3.200,3.200,13.500
3.99716.NTXCFC022NIZ0JFBQP4ANQXPIHTNP3N3A.1.xlsx,10041,0,0,24495,10049,2.198,2.200,2.200,2.200,2.200
3.203624.CFRGL51ZYS43UPYS3ZNSOQ3DVYPNSBZBB.1.xlsx,16,133,71,0,407,2.251,19.700,0.200,3.400,5.000
3.65621.L5TVFL1XJHPBDGSNNYYPOELNNMUZUNN5B.1.xlsx,224,11,0,26,1414,0.773,4.800,0.300,0.600,2.200
3.551278.IKF05SX050RDGKWGGHWTKI5IGQPSDGRSB.1.xlsx,0,4228,4228,0,8456,4.250,5.100,3.400,5.100,5.100
3.760269.B35XKTD2FTEURZS02JOPAYACIUKUI4W1B.1.xlsx,265,17,0,6,1618,0.657,3.000,0.300,0.600,1.200
3.721057.CXP2QOCLKSKNX3DUJMP3YGGOGTCZZ35OA.1.xlsx,176,206,0,0,15877,0.621,4.900,0.300,0.600,0.600
3.878421.PT1F3XNKRSRWQPPNQIKWFG4T52TMLIE1A.1.xlsm,20092,0,0,0,20114,2.697,2.700,2.700,2.700,2.700
3.421027.JAAUOVXFZIV2ISIQVQB1JJRTUDMAQXDDA.1.xlsx,229,1,0,0,279,1.872,4.600,0.200,2.200,2.200
3.1013228.NSNSGQAFQP2FCDBWQ4AVUNGW3TKWCHZ4B.1.xlsx,245,15,55,10,2220,0.860,11.800,0.300,0.600,1.300
3.284605.O53XTIQT2WBO0GRVALRM0IDLZOOA2BG2A.1.xlsx,83,0,0,0,177,1.297,2.200,0.500,0.500,2.200
3.490807.F0KHGHMGJNDCCWJ4HR2PGHNUCLIDLW4VA.1.xlsx,2,0,0,237,281,0.394,2.000,0.200,0.500,0.500
3.420044.L1I0XCSUBO313IXUILR4A2OJBMCHF12NA.1.xlsm,120,96,778,2,1809,3.234,14.700,0.500,2.300,6.200
3.657723.BNJO32VKVMUEVSTWCUZ0TMXW3B4O5NHRA.1.xlsx,11212,5606,19621,1137,42181,4.228,11.800,0.500,3.100,6.500
3.1163107.LMWQRRZEF4XATMBZ5UDD2BUSMFS3HWDFB.1.xlsx,180,0,0,0,2790,0.675,2.400,0.400,0.600,0.700
3.350005.JASJCQY1KP40WUT1F4XV3AQO3MPSWTM1A.1.xlsx,0,90,0,0,173,1.898,3.600,0.100,3.100,3.600
3.456950.PQC5VC4B2YX23AM2NCRRNSP13IIIPH5WA.1.xlsm,38592,0,0,0,38614,2.699,2.700,2.700,2.700,2.700
3.420783.MLALYINUNHVBVIX5EDV5GTJCK1FY2OWXA.1.xlsx,150,1,0,439,1438,0.530,3.800,0.300,0.300,2.200
3.631654.A2WD2QMHDNF1GODMWICNFRVHICZROFU0B.1.xlsx,0,0,0,52536,24,0.588,0.600,0.600,0.600,0.600
3.255451.CL2SPN32LECP2LAYXHHC21LF4U5ZWH55A.1.xlsm,26024,0,0,0,26046,2.698,2.700,2.700,2.700,2.700
3.418944.HCGF5NNZYYQHNFUGLAGAR4HLDYJ4J0RDA.1.xlsx,0,0,0,0,104,0.500,0.500,0.500,0.500,0.500
3.66833.ESRMV5YDQYJCJZYW1FSFCECGJXCUHTP3A.1.xlsx,46,164,12,0,529,1.899,6.200,0.300,0.900,3.900
3.655834.GS5N1DIJ1OMJ3YLAVLQFWXYTZR34OEMRA.1.xlsx,18225,9112,31892,1509,68395,4.237,11.800,0.500,3.100,6.500
3.87220.H0OQPDONOSFPKXAOZNSAWZ0EYYCMDC02A.1.xlsx,199,11,0,26,1266,0.768,4.800,0.300,0.600,2.200
3.153392.CB0FL5GKPVV44HFD5HQBYS1SVAMMMDN5B.1.xlsx,8,0,0,0,6651,0.463,2.200,0.300,0.500,0.500
OFP%20monthly%20inven#A88B8.xlsx,384,0,0,0,384,2.650,2.800,2.500,2.800,2.800
3.399457.OW0LIOQYUO0SJWCYQEWTY5I2C0PU4EVHB.1.xlsm,38580,0,0,0,38602,2.699,2.700,2.700,2.700,2.700
3.477149.HGRWMTWJJR2A4FV3QB2RHZAJRX11CKVLA.1.xlsm,64,0,2,48,110,1.726,6.900,0.500,2.200,2.500
3.864976.DQEGYLJMW2LJIUHU0YA12BCCKISJCR1CA.2.xlsx,1723,0,1,0,4273,1.107,13.800,0.200,0.600,2.500
3.484278.HHMXBM4SQWMCGAH4IRXS0B4L2MF4EJJKA.1.xlsx,2,0,0,224,269,0.389,2.000,0.200,0.500,0.500
3.553956.KQBIWLCR4233AU4BUNYX2YNFYENLPWCFB.26.xlsx,446,0,0,222,1339,1.299,2.700,0.500,0.600,2.700
3.34958.HIHDFHEQFXFQ44PIZR1K205TOKAQZAUGB.1.xlsx,4283,0,13387,0,23082,5.597,9.900,0.500,5.000,9.900
3.461623.CHOQVNJSZQWEM0P0YN3WN4GOOJNG3FLKA.1.xlsm,5464,0,0,0,5486,2.690,2.700,2.700,2.700,2.700
3.56809.HXK2431USP1AB4KXGPOSAOCNUCCVB4NVB.1.xlsx,248,24,46,6,2073,0.878,11.800,0.300,0.600,1.800
CET-ASfa01a-kfindings.xlsx,153,0,5,0,158,2.646,7.000,2.300,2.500,2.800
3.552767.JKSJEQZBNNP3QQPUOYY0JOZXZL5ZUHGAB.1.xlsx,0,4228,4228,0,8456,4.250,5.100,3.400,5.100,5.100
3.894602.JHEGULKQLK01J0XXWEFY4GGMKU3GBIKSB.2.xlsx,3366,0,0,0,3420,2.365,2.400,2.400,2.400,2.400
3.539904.BGGRX0EVRW1FTS1DMSX2GOROTXOGEZPLA.1.xlsx,247,0,0,78,247,2.200,2.200,2.200,2.200,2.200
3.1024117.ASIGPO5D0ZVYKBQBXDYACKI4SPBJGEIFB.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.192987.JRBHYWMGNAFUNPKJC2TVBX33QMKEM3SOB.2.xlsx,1576,0,0,0,1576,2.200,2.200,2.200,2.200,2.200
3.678404.M3ULN3NQXM53YZUE3ZBA2DTPQ3WM5WTYB.1.xlsx,0,0,362,60,422,4.531,5.200,0.500,5.200,5.200
3.539923.OIRB4U0P3DUWZFIUFG0DZOGIQIWDZSMDB.1.xlsm,3281,526,57748,2682,63216,12.733,17.900,10.200,14.800,14.800
3.855804.DZEOZQGF32EYOKEEMV04JASQ1AKSFX2RA.1.xlsx,300,2,0,0,302,2.216,4.600,2.200,2.200,2.200
3.866831.PO4UDVFA5FIO0EXWY1YF1BHBIS3QQXVXA.2.xlsx,229,1,0,0,279,1.872,4.600,0.200,2.200,2.200
3.1216858.MSJZFM5K4IS32BWPMO2XKN2W1MBYID21B.1.xlsx,92,0,20,0,353,1.362,10.200,0.200,0.600,2.800
3.189148.OOF0V0FETJZ5CB2SCULAPOFDXMY12KOXA.1.xlsm,159,75,421,0,2540,1.439,10.300,0.300,0.300,5.500
DHHS_Price_List_7-31-2003.xlsx,0,0,0,0,455,0.400,0.500,0.300,0.400,0.500
3.194271.CGJCGZHKY2RWGM23ZHK5EUMP33CKVX1TA.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.443366.CGZAX33RRKEEGKIYAEJBFRSIMGVDRCKSB.1.xlsx,334,159,0,5,1998,0.964,4.200,0.300,0.400,2.700
3.415411.OWHFBVCRCW0NPV4EBQL155T1Z533U1VAA.1.xlsx,27512,0,0,2,27674,2.290,2.300,2.300,2.300,2.300
3.658582.FXZS3B3MWZBCFD2S4O3BPB2HHIAJFQZFA.1.xlsm,1822,96,0,156,2768,1.759,3.700,0.500,2.200,2.400
3.663645.GICWIM2V5G5WZNZLNH1R4RD4BTKQB2UPB.2.xlsm,4523,991,487,5,19334,1.251,33.100,0.200,0.500,2.800
3.367771.HDYASUNGQX4RFSB4MXFMSML4TM1PYOD0A.1.xlsx,56,0,0,0,532,0.584,2.200,0.200,0.500,2.200
ADHP%20GRADES%202003%#A8902.xlsx,1011,0,0,0,1027,2.210,2.300,2.200,2.200,2.300
3.57777.BTGYURO0NNUZHY1YRFURBCD1ACNMKNVBB.1.xlsx,900,13,53,11,2883,1.248,11.800,0.300,0.700,2.600
3.601337.LG5ZVML0A0NWZ1OFYQAIRCNS3AHDH5C5A.1.xlsx,4510,0,0,0,10245,1.473,2.600,0.500,0.800,2.600
3.1176636.BS50PERLWD05HWU50TM4PTZQSP4U5VZXA.1.xlsx,507,1,0,1265,5156,0.504,3.800,0.300,0.300,0.600
3.1167679.G03RZKRXCDQV35T15ZLVGSHOJESH1ZJHA.1.xlsx,0,0,0,548,247,0.354,0.500,0.200,0.500,0.500
3.121069.G3FQZOTKB1UWGPHYKJEZES51WMWQT3RVA.2.xlsx,79,20,4,0,412,0.992,10.100,0.200,0.500,2.500
3.861275.I5IUQ0NNHE0XQHZPGB3GEIRAP31CNQHSB.1.xlsx,1693,30,1,0,4273,1.119,13.800,0.200,0.600,2.500
3.1163707.PZ55PNVE2IDQB14R3BB2JEITWFBQX3I3A.1.xlsm,83,31,412,6,9527,0.829,12.500,0.200,0.500,0.500
3.463416.AGDBKTQWTO4CR31RCNWVYDV3ML1IH2VTA.1.xlsm,696,0,0,0,718,2.623,2.700,2.700,2.700,2.700
3.380655.CUHORRGYLF33GOD0JVMEJLYKYCSRAGQQA.1.xlsx,385,103,0,0,16012,0.627,4.900,0.300,0.600,0.600
3.57615.KSAVMYTDTMMBNLW32WN55Y33KJ2RFY0IB.1.xlsx,0,0,0,55,220,0.425,0.500,0.200,0.500,0.500
uncertainty_v1.0Sep03.xlsx,1,26,59,0,237,2.577,10.700,0.300,0.500,7.900
3.774033.K2LUW0DXDJXPTPBVQYRSLCALR40LDH1QA.36.xlsx,0,0,0,183,170,0.204,0.300,0.200,0.200,0.200
3.390141.F2OKSPSAKJPH2KFTS1VMW20EWF3YXANGB.1.xlsx,56,0,0,0,532,0.584,2.200,0.200,0.500,2.200
3.659603.H43QPSUQB4MP0REL4XVRR2ERHMUFCMSJB.1.xlsm,1822,96,0,156,2768,1.759,3.700,0.500,2.200,2.400
3.80526.MFUFLLVJDEJEBGKRRT2X5PZJK3ZCS4G2B.1.xlsx,46,164,12,0,529,1.899,6.200,0.300,0.900,3.900
3.1137035.HCQWNXWJ0FSXDPYL2DA3OO3VN1ADOXGCB.1.xlsx,6481,1214,1722,173,50442,0.896,15.100,0.300,0.300,2.400
3.601342.AVS3AGA550Z3IPJTE5GM55HUXKRRHTCOB.1.xlsx,68,0,76,0,541,1.579,7.100,0.600,0.600,7.100
3.660759.PFLPZVZYGPZE1N2YIDJHNRVKDI3TR05BA.1.xlsm,1822,96,0,156,2768,1.759,3.700,0.500,2.200,2.400
3.838636.OJLUGSIUXDKF2010QOMWU21Y0IHH5I15B.1.xlsx,50,0,0,0,1412,0.563,2.500,0.300,0.600,0.600
Aeco_Rack_Rate_Calc.xlsx,79,30,29,0,673,1.091,5.700,0.200,0.500,2.800
3.439874.HCLFG2ERRSYI35HU51L4ZUG2J2YZM1EWB.1.xlsx,96,0,0,0,2023,0.611,2.600,0.300,0.600,0.900
3.459659.HEKPHZNEKQ5LORMYF4W4F2YJ34RQGHRNA.1.xlsm,15624,0,0,0,15646,2.696,2.700,2.700,2.700,2.700
3.1022045.KC13ZK5SJEWNPLFRXJUT2Z2XFBZMCWDNB.1.xlsx,35,0,0,26,159,1.106,2.900,0.600,0.600,2.900
3.820081.I3AELOU4FF4CTDTL5ZBYU3TFXYFFIUIWA.1.xlsx,1392,0,0,603,2778,1.552,2.700,0.400,2.500,2.700
3.421371.KT5JMLGNKZQ1IVAIBCFZAC2PLM1EDLZLB.1.xlsx,507,1,0,1251,5156,0.504,3.800,0.300,0.300,0.600
3.602107.CP3VNDOG2U4TSPI3UVYEI21FK4NNATOUA.1.xlsx,68,0,108,0,417,2.369,7.100,0.600,0.600,7.100
3.736730.DG5GEMJONMH32T3NUJI3FR5CC4YH5MHPA.1.xlsm,77,0,1386,10,1463,12.932,21.900,5.100,13.500,21.900
3.545477.M2KSXCMIVZJVTCT3R1B4FPLLMCRRIPR5B.1.xlsx,51,24,231,0,306,13.660,44.000,2.800,8.400,44.000
badbuys.xlsx,0,0,0,0,314,0.594,0.600,0.600,0.600,0.600
3.1158730.JU2K14Y12H2MJBSWA2AWJYD3LSP5GJYJA.1.xlsx,180,0,0,0,2790,0.675,2.400,0.400,0.600,0.700
3.332900.IJQULCQ2A3BIEAEPABRKDBSHRTN4KGH0B.4.xlsx,11195,4032,0,0,23158,1.874,4.500,0.500,1.100,4.500
3.819679.OUBG5QTOUH4L3033E1OH4EGV5UV0HSFUB.1.xlsx,41,0,0,0,380,0.688,2.800,0.300,0.500,2.200
3.460212.FYLBPQNF5PWO2YPDM2GP5LAZD44S1G3JA.1.xlsm,38592,0,0,0,38614,2.699,2.700,2.700,2.700,2.700
3.94110.FYVBZPQWVJYVMRJPWVJGQY1HK0KERPX3B.1.xlsx,0,0,0,55,220,0.425,0.500,0.200,0.500,0.500
nieuweprijzenICTAcade#A8296.xlsx,301,0,0,0,347,2.048,2.300,0.400,2.300,2.300
3.545362.D52JU1MNGEQW020SNEXSDXCSC044VZR5A.1.xlsx,51,24,231,0,306,13.660,44.000,2.800,8.400,44.000
3.322902.HWOO0NFBTIOYEYK1YZH2HSSLREXGGRFDB.1.xlsm,2,36,20629,0,26576,8.698,11.100,0.300,11.100,11.100
3.455219.DXADSLXUWP55WEXBISNCCAHJNFPOBFBHB.1.xlsx,0,0,0,30,2311,0.386,0.900,0.200,0.500,0.500
3.866210.J1QHOIWOP0VOQHI5K24FBTRSO5XKZPBIA.1.xlsx,827,73,45,0,4914,0.928,5.900,0.300,0.600,2.200
3.422447.L10EW2LLJ2OW4SLMRUOU0RYHP3ODQXZFA.1.xlsx,507,1,0,1265,5156,0.504,3.800,0.300,0.300,0.600
3.416562.F3YU2GIJQSS3XKTILNQWEJ1BCCTVX1XIB.1.xlsm,553,228,318,1,3203,2.110,24.200,0.200,0.500,4.800
3.545047.MHZQFPXJJ53TA4FQVB1ZS2P5Y4T2KQSCA.1.xlsx,51,24,231,0,306,13.660,44.000,2.800,8.400,44.000
3.217024.GFQR4ICTC0OBDYSPNDHLULHV4JBM10DSA.1.xlsx,235,6,2,24,624,0.938,5.700,0.200,0.500,2.200
3.473544.GEQ3XTG4KARXSW0UKHYIBMZMIZ2Q1NBTA.1.xlsx,82,0,0,0,82,2.200,2.200,2.200,2.200,2.200
gsa_onsite_SIN_132_50#A7F68.xlsm,614,0,0,0,1034,1.484,2.300,0.300,2.300,2.300
p_plan.xlsx,155,0,0,0,155,2.200,2.200,2.200,2.200,2.200
3.457405.AQR5VS3L2N4NQHQALGFVD5RGFY5CODUSB.1.xlsm,38592,0,0,0,38614,2.699,2.700,2.700,2.700,2.700
3.420782.L3DNMS0QAHQGDB0BJGKJGUWRCHVB3E4LB.1.xlsx,150,1,0,435,1438,0.530,3.800,0.300,0.300,2.200
3.194152.O3AN0IF0C1KUVIJ2VT1KOIOT15TBJVWGB.2.xlsx,1576,0,0,0,1576,2.200,2.200,2.200,2.200,2.200
3.867403.GXDMCWAOTFOEPL5F1PBOJV02J0X3K24OA.2.xlsx,0,0,0,0,88,0.500,0.500,0.500,0.500,0.500
3.1176634.LHM01IQCST0LHNRMVRTTZE3LDFJPCC2QB.1.xlsx,8,0,54,29,96,8.703,14.900,0.500,14.800,14.900
Database_excel95.xlsx,0,0,0,14857,0,0,0,0,0,0
3.422294.FTTRLOHKY2P2GVBYBIOPG5L105ABSK11A.1.xlsx,104,1,0,210,973,0.537,3.800,0.300,0.300,2.200
3.496987.EGUOVSDDTPCTY5XOEEQSN5NDDTZOFGOFB.2.xlsx,65,16,12,0,300,1.239,9.600,0.300,0.500,2.200
3.452131.N00MUYFDPJ5KNAXKMLAEMENQP3FQPCQOB.2.xlsx,60,71,0,7,651,0.891,3.300,0.300,0.600,3.000
3.763710.OJKUBABD045S3XWKR0W1FNSRINPASU1SA.1.xlsx,66,0,0,3,544,0.588,2.200,0.200,0.500,1.200
